filepath,cluster
../ead_exemples/ape-FRAD070_365Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_371Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_372Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_376Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_379Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_382Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_386Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_387Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_390Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_392Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_396Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_402Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_404Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_406Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_408Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_409Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_413Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_414Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_415Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_417Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_421Edepot_rpnum_002.xml,1
../ead_exemples/ape-FRAD070_422Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_426Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_427Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_429Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_430Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_437Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_438Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_443Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_446Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_447Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_448Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_451Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_457Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_458Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_464Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_472Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_476Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_477Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_478Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_481Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_482Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_485Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_486Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_488Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_489Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_492Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_497Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_509Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD077_3331W4.xml,4
../ead_exemples/ape-FRAD077_3331W5-1.xml,4
../ead_exemples/ape-FRAD077_3331W5-2.xml,4
../ead_exemples/ape-FRAD077_3331W5-3.xml,4
../ead_exemples/ape-FRAD077_3331W5-4.xml,4
../ead_exemples/ape-FRANOM_00098.xml,1
../ead_exemples/ape-FRANOM_00100.xml,1
../ead_exemples/ape-FRANOM_00101.xml,1
../ead_exemples/ape-FRANOM_00102.xml,1
../ead_exemples/ape-FRANOM_00103.xml,1
../ead_exemples/ape-FRBNF_EAD000014032.xml,3
../ead_exemples/ape-FRBNF_EAD000014033.xml,3
../ead_exemples/ape-FRBNF_EAD000014034.xml,3
../ead_exemples/ape-FRBNF_EAD000014035.xml,3
../ead_exemples/ape-FRBNF_EAD000014036.xml,3
../ead_exemples/ape-FRBNF_EAD000014037.xml,3
../ead_exemples/ape-FRBNF_EAD000014038.xml,3
../ead_exemples/ape-frad001_ec_aranc.xml,2
../ead_exemples/ape-frad001_ec_arandas.xml,2
../ead_exemples/ape-frad001_ec_arbent.xml,2
../ead_exemples/ape-frad001_ec_arbignieu.xml,2
../ead_exemples/ape-frad001_ec_arbigny.xml,2
