filepath,cluster
ead_exemples/ape-FRAC44143_000171.xml,7
ead_exemples/ape-FRAC44143_000172.xml,0
ead_exemples/ape-FRAC44143_000173.xml,7
ead_exemples/ape-FRAC44143_000174.xml,7
ead_exemples/ape-FRAC44143_000175.xml,5
ead_exemples/ape-FRAC44143_000176.xml,7
ead_exemples/ape-FRAC44143_000177.xml,0
ead_exemples/ape-FRAD077_3331W4.xml,2
ead_exemples/ape-FRAD077_3331W5-1.xml,2
ead_exemples/ape-FRAD077_3331W5-2.xml,2
ead_exemples/ape-FRAD077_3331W5-3.xml,2
ead_exemples/ape-FRAD077_3331W5-4.xml,2
ead_exemples/ape-FRANOM_00098.xml,3
ead_exemples/ape-FRANOM_00100.xml,3
ead_exemples/ape-FRANOM_00101.xml,3
ead_exemples/ape-FRANOM_00102.xml,5
ead_exemples/ape-FRANOM_00103.xml,3
ead_exemples/ape-FRBNF_EAD000014032.xml,6
ead_exemples/ape-FRBNF_EAD000014033.xml,6
ead_exemples/ape-FRBNF_EAD000014034.xml,4
ead_exemples/ape-FRBNF_EAD000014035.xml,4
ead_exemples/ape-FRBNF_EAD000014036.xml,4
ead_exemples/ape-FRBNF_EAD000014037.xml,4
ead_exemples/ape-FRBNF_EAD000014038.xml,4
ead_exemples/ape-frad001_ec_aranc.xml,1
ead_exemples/ape-frad001_ec_arandas.xml,1
ead_exemples/ape-frad001_ec_arbent.xml,1
ead_exemples/ape-frad001_ec_arbignieu.xml,1
ead_exemples/ape-frad001_ec_arbigny.xml,1
